Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_V_L1,Error_n_L2,Error_n_Linf,Error_n_L1,Error_p_L2,Error_p_Linf,Error_p_L1,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_Poisson_L1,Residual_n_L2,Residual_n_Linf,Residual_n_L1,Residual_p_L2,Residual_p_Linf,Residual_p_L1,Error_V_Relative,Error_n_Relative,Error_p_Relative,Max_V_Change,Max_n_Change,Max_p_Change,Total_Error,Grid_Points,Device_Area
0,1,0,10.66708453104849,34.311038064919174,7.8009136443222875,0.0025544159981349427,0.018368718548339873,0.0007232351992014555,0.00036258243870028304,0.00037365573367139515,0.0003593122852033793,0.04332254938343787,0.31501909481111673,0.016835677704555543,31395992662180.016,665163821287925.2,6827566590592.958,622656092166.7128,13191756988551.32,135406641798.19582,0.7574352675536912,1.0,1.0,34.311038064919174,0.018368718548339873,0.00037365573367139515,1.0,3721,9e-14
0,2,0,3.3259498526519254e-16,3.552713678800501e-15,3.8441472227646045e-17,inf,inf,inf,0.0007171822284933132,0.00885870039613648,0.00010894566181218973,inf,inf,inf,nan,nan,nan,70842103456293.33,1927610312263625.5,9900522863652.799,2.3616497171096797e-17,nan,0.8476676900109124,3.552713678800501e-15,inf,0.00885870039613648,0.04332254938343787,3721,9e-14
1,1,0.0,10.66708453104849,34.311038064919174,7.8009136443222875,5.21982319876929e+27,2.177673704462636e+29,1.2511770781168209e+26,0.0003702157531992364,0.0003815221701697403,0.0003668767543655556,8.956435297954302e+28,3.7365621193213366e+30,2.1468325879464555e+27,inf,inf,inf,635764641475.4857,13469478188310.305,138257307941.31543,0.7574352675536912,1.0,1.0,34.311038064919174,2.177673704462636e+29,0.0003815221701697403,1.0,3721,9e-14
1,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,3721,9e-14
2,1,0.1,9.697349573680444,31.191852786290166,7.091739676656625,inf,inf,inf,0.00036913346766926486,0.00038152217017949617,0.00036543209171192636,inf,inf,inf,nan,nan,nan,590498754513.5565,11224033289900.312,131617062695.53444,0.7558991601692219,nan,1.0,31.191852786290166,inf,0.00038152217017949617,1.0,3721,9e-14
3,1,0.2,8.727614616312403,28.072667507661148,6.382565708990965,inf,inf,inf,0.000367839206720052,0.0003815221701785077,0.00036370171480234087,inf,inf,inf,nan,nan,nan,551394378361.3735,9161652223377.803,124813401167.26149,0.7538377964300881,nan,1.0,28.072667507661148,inf,0.0003815221701785077,1.0,3721,9e-14
4,1,0.30000000000000004,7.757879658944357,24.953482229032126,5.673391741325299,inf,inf,inf,0.00036626198233088764,0.0003815221701837689,0.0003615904125295317,inf,inf,inf,nan,nan,nan,518470712388.93756,7953866085957.586,117635272798.3931,0.7509840206182605,nan,1.0,24.953482229032126,inf,0.0003815221701837689,1.0,3721,9e-14
5,1,0.4,6.788144701576312,21.834296950403115,4.964217773659637,inf,inf,inf,0.0003642938768187073,0.00038152217017629783,0.00035895410293080047,inf,inf,inf,nan,nan,nan,491170284906.6793,8592862115026.206,109963326203.6862,0.7468790614394788,nan,1.0,21.834296950403115,inf,0.00038152217017629783,1.0,3721,9e-14
6,1,0.5,5.8184097442082665,18.71511167177409,4.255043805993974,inf,inf,inf,0.0003617615832392749,0.00038152217018352637,0.0003555628919778287,inf,inf,inf,nan,nan,nan,468009973757.4889,9262322819505.262,101758016130.69205,0.740684083727385,nan,1.0,18.71511167177409,inf,0.00038152217018352637,1.0,3721,9e-14
7,1,0.6000000000000001,4.848674786840222,15.595926393145074,3.5458698383283123,inf,inf,inf,0.00035836589067853296,0.00038152217016098537,0.0003510235805164178,inf,inf,inf,nan,nan,nan,446037172799.69073,9938447197221.61,92682582031.27869,0.7307412761249729,nan,1.0,15.595926393145074,inf,0.00038152217016098537,1.0,3721,9e-14
8,1,0.7000000000000001,3.8789398294721766,12.476741114516056,2.836695870662649,inf,inf,inf,0.0003535355120282558,0.0003815221695418042,0.00034459612400151947,inf,inf,inf,nan,nan,nan,419782979026.97656,10534110727174.6,82376486483.286,0.7134388987287044,nan,1.0,12.476741114516056,inf,0.0003815221695418042,1.0,3721,9e-14
9,1,0.8,2.909204872104131,9.357555835887041,2.1275219029969863,inf,inf,inf,0.00034600311565983517,0.0003815221468325578,0.0003346771384896287,inf,inf,inf,nan,nan,nan,378978302014.5741,10764485907617.828,70114555793.08556,0.6798973097391279,nan,1.0,9.357555835887041,inf,0.0003815221468325578,1.0,3721,9e-14
10,1,0.9,1.939469914736087,6.238370557258024,1.4183479353313238,inf,inf,inf,0.00033223513395299627,0.00038152140657985264,0.0003169708620355892,inf,inf,inf,nan,nan,nan,304626085263.8116,9837833211503.865,54363974988.98533,0.6051399619200891,nan,1.0,6.238370557258024,inf,0.00038152140657985264,1.0,3721,9e-14
11,1,1.0,0.9697349573680422,3.119185278629006,0.709173967665661,inf,inf,inf,0.0003001049846427551,0.00038150323005818447,0.0002774646650725269,inf,inf,inf,nan,nan,nan,172519303192.91852,6276181484175.832,31861600606.131813,0.4153947186342764,nan,1.0,3.119185278629006,inf,0.00038150323005818447,1.0,3721,9e-14
