Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_V_L1,Error_n_L2,Error_n_Linf,Error_n_L1,Error_p_L2,Error_p_Linf,Error_p_L1,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_Poisson_L1,Residual_n_L2,Residual_n_Linf,Residual_n_L1,Residual_p_L2,Residual_p_Linf,Residual_p_L1,Error_V_Relative,Error_n_Relative,Error_p_Relative,Max_V_Change,Max_n_Change,Max_p_Change,Total_Error,Grid_Points,Device_Area
0,1,0,10.66708453104849,34.311038064919174,7.8009136443222875,1.3834387114437408e-24,1.383438711443741e-24,1.3834387114437406e-24,1.3834387114437408e-24,1.383438711443741e-24,1.3834387114437406e-24,8.870226588306352e-15,8.526512829121202e-14,5.6279313298137946e-15,9.59234672747927e-10,1.3063606739738992e-09,9.376243361701933e-10,9.592346727479268e-10,1.3063606739738972e-09,9.37624336170193e-10,0.7574352675536912,18.999739059606203,18.999739059606203,34.311038064919174,1.383438711443741e-24,1.383438711443741e-24,1.0,3721,9e-14
1,1,0.0,10.66708453104849,34.311038064919174,7.8009136443222875,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,8.870226588306352e-15,8.526512829121202e-14,5.6279313298137946e-15,9.592346727479268e-10,1.3063606739738976e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738955e-09,9.37624336170193e-10,0.7574352675536912,32.33259324601008,32.33259324601008,34.311038064919174,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
2,1,0.1,9.697349573680444,31.191852786290166,7.091739676656625,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,8.063288668438087e-15,5.684341886080802e-14,5.053125398721956e-15,9.592346727479266e-10,1.306360673973895e-09,9.376243361701929e-10,9.592346727479266e-10,1.3063606739738955e-09,9.376243361701929e-10,0.7558991601692219,32.33259324601008,32.33259324601008,31.191852786290166,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
3,1,0.2,8.727614616312403,28.072667507661148,6.382565708990965,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,6.930782901716433e-15,4.973799150320701e-14,4.393495924885802e-15,9.592346727479268e-10,1.306360673973896e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738976e-09,9.376243361701929e-10,0.7538377964300881,32.33259324601008,32.33259324601008,28.072667507661148,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
4,1,0.30000000000000004,7.757879658944357,24.953482229032126,5.673391741325299,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,6.45140111506883e-15,4.618527782440651e-14,4.06901044187525e-15,9.592346727479268e-10,1.3063606739739009e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738976e-09,9.37624336170193e-10,0.7509840206182605,32.33259324601008,32.33259324601008,24.953482229032126,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
5,1,0.4,6.788144701576312,21.834296950403115,4.964217773659637,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,5.4555592215308146e-15,4.973799150320701e-14,3.4256697274575904e-15,9.592346727479268e-10,1.3063606739739075e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739739092e-09,9.37624336170193e-10,0.7468790614394788,32.33259324601008,32.33259324601008,21.834296950403115,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
6,1,0.5,5.8184097442082665,18.71511167177409,4.255043805993974,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,4.880509418518673e-15,4.263256414560601e-14,3.0188912750468794e-15,9.59234672747927e-10,1.3063606739739009e-09,9.37624336170193e-10,9.59234672747927e-10,1.3063606739739025e-09,9.37624336170193e-10,0.740684083727385,32.33259324601008,32.33259324601008,18.71511167177409,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
7,1,0.6000000000000001,4.848674786840222,15.595926393145074,3.5458698383283123,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,4.069084392027847e-15,3.019806626980426e-14,2.5670279525207934e-15,9.592346727479268e-10,1.306360673973896e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738976e-09,9.37624336170193e-10,0.7307412761249729,32.33259324601008,32.33259324601008,15.595926393145074,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
8,1,0.7000000000000001,3.8789398294721766,12.476741114516056,2.836695870662649,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,3.4166992406928138e-15,2.4868995751603507e-14,2.076616991294978e-15,9.592346727479268e-10,1.3063606739738957e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738953e-09,9.37624336170193e-10,0.7134388987287044,32.33259324601008,32.33259324601008,12.476741114516056,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
9,1,0.8,2.909204872104131,9.357555835887041,2.1275219029969863,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,1.4125637369478196e-24,1.4125637369478197e-24,1.4125637369478196e-24,2.57635203407486e-15,2.4868995751603507e-14,1.5824425621890768e-15,9.592346727479268e-10,1.3063606739738976e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738976e-09,9.37624336170193e-10,0.6798973097391279,32.33259324601008,32.33259324601008,9.357555835887041,1.4125637369478197e-24,1.4125637369478197e-24,1.0,3721,9e-14
