Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0,0,3,0,0.018105252820570378,0.029449940288170495,2.167128050915915e-05,0.00012241807884043505,2.354586136821636e-08,1.1366158001659024e-07,9.51162893710338e-08,9.347508473431994e-07,0.0001027891646301646,0.017803012097290776,2.0423597618803465e-06,0.0003537352957249876,0.02988787830012232
0,0,5,0,0.0023243679566119545,0.0037794468431826544,2.746526668765824e-06,1.5412320927301465e-05,3.0612399573679348e-09,1.480294354618255e-08,9.456528884103308e-08,9.347101593641941e-07,0.00010278856025209169,0.017802907419427284,2.0423599123619456e-06,0.00035373532178829635,0.0037723137098133828
0,0,7,0,0.00029854125196128445,0.0004854308894444159,3.505842361914146e-07,1.965032079897372e-06,3.9343735769155177e-10,1.9025331546729946e-09,9.463479778793929e-08,9.347152172212619e-07,0.00010278863715799719,0.017802920739476834,2.042359893021383e-06,0.00035373531843852434,0.00048554870763251366
0,0,9,0,3.819453584196481e-05,6.210420328400801e-05,4.4816895187269713e-08,2.511358267991842e-07,5.0343796987999443e-11,2.4344970909529785e-10,9.462592618485092e-08,9.347145802704317e-07,0.0001027886273341215,0.017802919037988373,2.0423598954963677e-06,0.00035373531886719,6.210225280316123e-05
0,0,11,0,4.8850373453328756e-06,7.943049691760962e-06,5.730769661651493e-09,3.21113954905583e-08,6.438989921772408e-12,3.113723073323339e-11,9.462706015993112e-08,9.347146599552645e-07,0.00010278862859015935,0.017802919255533258,2.0423598951796316e-06,0.0003537353188123315,7.94306106362191e-06
0,0,13,0,6.247116690173115e-07,1.0157780110375825e-06,7.32834395770729e-10,4.106277531543134e-09,8.234089189542994e-13,3.981777689683608e-12,9.462691516030132e-08,9.347146499290139e-07,0.0001027886284295377,0.0178029192277137,2.0423598952202015e-06,0.00035373531881935816,1.0157577294201315e-06
0,0,15,0,7.988774265542837e-08,1.298968506091569e-07,9.371067657104519e-11,5.250900790565449e-10,1.0530042883224261e-13,5.092635026789777e-13,9.462693369973975e-08,9.347146431970686e-07,0.00010278862845007787,0.017802919231271242,2.0423598952149757e-06,0.00035373531881845307,1.298822487058844e-07
0,0,17,0,1.0215357672610318e-08,1.6610140818329455e-08,1.1987283905734045e-11,6.716842186615946e-11,1.3496456896000729e-14,6.538245964603229e-14,9.462693132998314e-08,9.347146467020189e-07,0.00010278862844745885,0.01780291923081763,2.0423598952155695e-06,0.00035373531881855596,1.6613509810338244e-08
0.0,1,1,0.0,2.1685533960830967e-06,3.2058226917541788e-06,4.857864904199109e-07,7.690192583630442e-07,4.796333540426162e-07,7.762969376242208e-07,9.463827661166283e-08,9.347149947125831e-07,0.00010278864136365018,0.01780292146789301,2.0423598632746148e-06,0.0003537353132857508,98.99976836811828
0.0,1,3,0.0,4.293729471060659e-06,6.347512890414464e-06,4.809228421490634e-07,7.613148295941997e-07,4.748368301544638e-07,7.685328678922317e-07,9.46438502572589e-08,9.347151571924376e-07,0.00010278864766636251,0.017802922559518417,2.0423598618300352e-06,0.0003537353130355566,49.25123504156528
0.0,1,5,0.0,6.37617265450835e-06,9.426015516567077e-06,4.7610502994977223e-07,7.536805697073447e-07,4.700882135155979e-07,7.608459445539081e-07,9.464935816775112e-08,9.347153250052886e-07,0.00010278865385660979,0.017802923631664955,2.0423598595309362e-06,0.000353735312637357,32.66892864485683
0.0,1,7,0.0,8.416518942371422e-06,1.244226333341203e-05,4.713326533105477e-07,7.461159252145598e-07,4.653870262530799e-07,7.532354061784179e-07,9.465480049845546e-08,9.347154874862214e-07,0.00010278865993507911,0.017802924684451632,2.042359856394724e-06,0.00035373531209416707,24.378195410317264
0.0,1,9,0.0,1.0415396014790075e-05,1.539717711196431e-05,4.6660531522443845e-07,7.386203562088044e-07,4.6073279524444037e-07,7.457004993002356e-07,9.466017742212093e-08,9.347156517344574e-07,0.00010278866590247604,0.017802925718000646,2.042359852438116e-06,0.0003537353114088824,19.40409403705162
0.0,1,11,0.0,1.2373423329288914e-05,1.8291665780267863e-05,4.619226221298353e-07,7.311933294730532e-07,4.561250520859353e-07,7.382404778017973e-07,9.466548912159854e-08,9.347158035334907e-07,0.00010278867175948923,0.017802926732431272,2.042359847677768e-06,0.0003537353105843876,16.088309289224398
0.0,1,13,0.0,1.4291212223181434e-05,2.1126626542411486e-05,4.572841839472025e-07,7.238343214366447e-07,4.515633330426386e-07,7.30854601639199e-07,9.467073579661332e-08,9.347159570890667e-07,0.00010278867750686298,0.017802927727872425,2.042359842130616e-06,0.0003537353096236161,13.720134268940907
0.0,1,15,0.0,1.6169366009587795e-05,2.3902945022413746e-05,4.526896139551684e-07,7.16542813281951e-07,4.470471790041264e-07,7.235421388106437e-07,9.467591765653521e-08,9.347161123966038e-07,0.0001027886831452964,0.017802928704445185,2.0423598358122354e-06,0.0003537353085292658,11.944215395705713
