Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_V_L1,Error_n_L2,Error_n_Linf,Error_n_L1,Error_p_L2,Error_p_Linf,Error_p_L1,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_Poisson_L1,Residual_n_L2,Residual_n_Linf,Residual_n_L1,Residual_p_L2,Residual_p_Linf,Residual_p_L1,Error_V_Relative,Error_n_Relative,Error_p_Relative,Max_V_Change,Max_n_Change,Max_p_Change,Total_Error,Interior_Points_Carrier,Interior_Points_V,Device_Area
0,1,0,10.66708453104849,34.311038064919174,7.8009136443222875,9500000000.0,9500000000.0,9500000000.0,9500000000.0,9500000000.0,9500000000.0,366.73508954916207,3525.2421875,232.68285017999526,384026475983.67456,5634997092352.0,157972983173.83606,378524291174.227,5634997092352.0,157590763261.32755,0.7574352675536912,1.0,1.0,34.311038064919174,9500000000.0,9500000000.0,1.0,3481,3600,9e-14
0,2,0,3.3259498526519254e-16,3.552713678800501e-15,3.8441472227646045e-17,475000000.0,475000000.0,475000000.0,475000000.0,475000000.0,475000000.0,370.30209905773194,3525.2421875,236.07991258433856,1.0269427621202995e+18,1.0269493629715502e+18,1.0269427621202173e+18,1.026942769249404e+18,1.0269493629715502e+18,1.0269427692493153e+18,2.3616497171096797e-17,0.04761904761904763,0.04761904761904763,3.552713678800501e-15,475000000.0,475000000.0,1.0,3481,3600,9e-14
0,3,0,0.0,0.0,0.0,23750000.000000004,23750000.000001907,23750000.0,23750000.0,23750000.0,23750000.0,370.30209905027334,3525.2421875,236.07991257493683,1.1322044116971194e+18,1.132210996476483e+18,1.1322044116970294e+18,1.1322044248719967e+18,1.132210446720669e+18,1.1322044248719022e+18,0.0,0.002375296912114015,0.0023752969121140144,0.0,23750000.000001907,23750000.0,1.0,3481,3600,9e-14
0,4,0,0.0,0.0,0.0,1187500.0000000005,1187500.0000019073,1187500.0000000005,1187500.0,1187500.0,1187500.0,370.30209905027334,3525.2421875,236.07991260314188,1.1376022657091186e+18,1.1376105136571959e+18,1.1376022657090381e+18,1.1376022656721006e+18,1.1376094141455681e+18,1.1376022656720225e+18,0.0,0.00011875074219213875,0.00011875074219213871,0.0,1187500.0000019073,1187500.0,1.0,3481,3600,9e-14
0,5,0,0.0,0.0,0.0,59374.999999999454,59375.0000038147,59374.999999999454,59375.0,59375.0,59375.0,370.30209909502486,3525.2421875,236.07991263134693,1.1378724800801542e+18,1.137878544995199e+18,1.1378724800800497e+18,1.1378724901445253e+18,1.1378766208498504e+18,1.1378724901444526e+18,0.0,5.937501855469275e-06,5.93750185546933e-06,0.0,59375.0000038147,59375.0,1.0,3481,3600,9e-14
0,6,0,0.0,0.0,0.0,2968.7500000021914,2968.750005722046,2968.750000002192,2968.75,2968.75,2968.75,370.3020989831461,3525.2421875,236.07991257493683,1.137886045351797e+18,1.1379134978324172e+18,1.1378860453515907e+18,1.1378860514912323e+18,1.1378939815010244e+18,1.1378860514911365e+18,0.0,2.968750046388911e-07,2.968750046386719e-07,0.0,2968.750005722046,2968.75,1.0,3481,3600,9e-14
0,7,0,0.0,0.0,0.0,148.4374999983562,148.4375057220459,148.4374999983562,148.4375000646559,148.43750190734863,148.4375000646559,370.3020996628178,3525.2421875,236.07991324245614,1.1378866771222849e+18,1.1378919083420851e+18,1.1378866771220987e+18,1.1378866999086353e+18,1.1378927329758062e+18,1.1378866999085559e+18,0.0,1.4843750011432296e-08,1.4843750018062266e-08,0.0,148.4375057220459,148.43750190734863,1.0,3481,3600,9e-14
0,8,0,0.0,0.0,0.0,7.421875061916242,7.421882629394531,7.4218750619162295,7.421875,7.421875,7.421875,370.30209899060463,3525.2421875,236.0799125937402,1.1378867196330194e+18,1.1379109086986755e+18,1.1378867196328593e+18,1.1378867247040152e+18,1.1378933165126313e+18,1.137886724703947e+18,0.0,7.421875062206159e-10,7.421875000289917e-10,0.0,7.421882629394531,7.421875,1.0,3481,3600,9e-14
0,9,0,0.0,0.0,0.0,0.37109368863193587,0.37110137939453125,0.37109368863170156,0.37109375,0.37109375,0.37109375,370.3020996894023,3525.2421875,236.0799132518578,1.1378867253127547e+18,1.1378924935679611e+18,1.137886725312582e+18,1.1378867494464507e+18,1.137893043323775e+18,1.1378867494463645e+18,0.0,3.710936886326607e-11,3.710937500007248e-11,0.0,0.37110137939453125,0.37109375,1.0,3481,3600,9e-14
0,10,0,0.0,0.0,0.0,0.018554749421843358,0.018560409545898438,0.018554749416229678,0.0185546875,0.0185546875,0.0185546875,370.3020989436755,3525.2421875,236.0799126407486,1.1378867365288442e+18,1.1379147587628759e+18,1.1378867365285906e+18,1.1378867248394017e+18,1.1378919438965998e+18,1.1378867248393298e+18,0.0,1.855474942184517e-12,1.855468750000181e-12,0.0,0.018560409545898438,0.0185546875,1.0,3481,3600,9e-14
