Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_V_L1,Error_n_L2,Error_n_Linf,Error_n_L1,Error_p_L2,Error_p_Linf,Error_p_L1,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_Poisson_L1,Residual_n_L2,Residual_n_Linf,Residual_n_L1,Residual_p_L2,Residual_p_Linf,Residual_p_L1,Error_V_Relative,Error_n_Relative,Error_p_Relative,Max_V_Change,Max_n_Change,Max_p_Change,Total_Error,Grid_Points,Device_Area
0,1,0,10.66708453104849,34.311038064919174,7.8009136443222875,9500000000.0,9500000000.0,9500000000.0,9500000000.0,9500000000.0,9500000000.0,366.73508954916207,3525.2421875,232.68285017999526,384026475983.67456,5634997092352.0,157972983173.83606,378524291174.227,5634997092352.0,157590763261.32755,0.7574352675536912,1.0,1.0,34.311038064919174,9500000000.0,9500000000.0,6.866946776475487e+33,3721,9e-14
0,2,0,3.3259498526519254e-16,3.552713678800501e-15,3.8441472227646045e-17,475000000.0,475000000.0,475000000.0,475000000.0,475000000.0,475000000.0,370.30209905773194,3525.2421875,236.07991258433856,1.0269427621202995e+18,1.0269493629715502e+18,1.0269427621202173e+18,1.026942769249404e+18,1.0269493629715502e+18,1.0269427692493153e+18,2.3616497171096797e-17,0.04761904761904763,0.04761904761904763,3.552713678800501e-15,475000000.0,475000000.0,0.05263157894736842,3721,9e-14
0,3,0,0.0,0.0,0.0,23750000.000000004,23750000.000001907,23750000.0,23750000.0,23750000.0,23750000.0,370.30209905027334,3525.2421875,236.07991257493683,1.1322044116971194e+18,1.132210996476483e+18,1.1322044116970294e+18,1.1322044248719967e+18,1.132210446720669e+18,1.1322044248719022e+18,0.0,0.002375296912114015,0.0023752969121140144,0.0,23750000.000001907,23750000.0,0.002506265664160401,3721,9e-14
0,4,0,0.0,0.0,0.0,1187500.0000000005,1187500.0000019073,1187500.0000000005,1187500.0,1187500.0,1187500.0,370.30209905027334,3525.2421875,236.07991260314188,1.1376022657091186e+18,1.1376105136571959e+18,1.1376022657090381e+18,1.1376022656721006e+18,1.1376094141455681e+18,1.1376022656720225e+18,0.0,0.00011875074219213875,0.00011875074219213871,0.0,1187500.0000019073,1187500.0,0.00012501562695480006,3721,9e-14
0,5,0,0.0,0.0,0.0,59374.999999999454,59375.0000038147,59374.999999999454,59375.0,59375.0,59375.0,370.30209909502486,3525.2421875,236.07991263134693,1.1378724800801542e+18,1.137878544995199e+18,1.1378724800800497e+18,1.1378724901445253e+18,1.1378766208498504e+18,1.1378724901444526e+18,0.0,5.937501855469275e-06,5.93750185546933e-06,0.0,59375.0000038147,59375.0,6.250039064174672e-06,3721,9e-14
0,6,0,0.0,0.0,0.0,2968.7500000021914,2968.750005722046,2968.750000002192,2968.75,2968.75,2968.75,370.3020989831461,3525.2421875,236.07991257493683,1.137886045351797e+18,1.1379134978324172e+18,1.1378860453515907e+18,1.1378860514912323e+18,1.1378939815010244e+18,1.1378860514911365e+18,0.0,2.968750046388911e-07,2.968750046386719e-07,0.0,2968.750005722046,2968.75,3.125000998497328e-07,3721,9e-14
1,1,0.0,10.66708453104849,34.311038064919174,7.8009136443222875,151.5624999983562,151.56250381469727,151.5624999983562,151.56250000109586,151.56250190734863,151.56250000109586,366.7350895609429,3525.2421875,232.68285021760195,1.1378866722263539e+18,1.1378905339525504e+18,1.1378866722262452e+18,1.1378866823548481e+18,1.1378908775499341e+18,1.1378866823547876e+18,0.7574352675536912,1.5156250006940112e-08,1.5156250007214078e-08,34.311038064919174,151.56250381469727,151.56250190734863,1.562500396347058e-08,3721,9e-14
1,2,0.0,2.7305524699904814e-16,3.552713678800501e-15,2.6660772355234663e-17,4.54687499890414,4.546878814697266,4.546874998904138,4.546875,4.546875,4.546875,368.39781984168485,3525.2421875,234.46186385120114,1.1378867263324255e+18,1.1379043123400882e+18,1.1378867263322798e+18,1.1378867216993399e+18,1.1378909807616014e+18,1.137886721699262e+18,1.9388772392838095e-17,4.546874998968081e-10,4.5468750000639404e-10,3.552713678800501e-15,4.546878814697266,4.546875,4.687530519775419e-10,3721,9e-14
2,1,0.1,9.697349573680444,31.191852786290166,7.091739676656625,0.13640594592018082,0.13640975952148438,0.13640594592008123,0.13640594372836393,0.13640594482421875,0.13640594372835627,333.37144898900067,2350.16015625,208.91424197684375,1.1378867337971452e+18,1.1378942803312507e+18,1.137886733797055e+18,1.1378867481107818e+18,1.1378971665492739e+18,1.137886748110695e+18,0.7558991601692219,1.3640594592023837e-11,1.3640594372842148e-11,31.191852786290166,0.13640975952148438,0.13640594482421875,1.406555175801034e-11,3721,9e-14
3,1,0.2,8.727614616312403,28.072667507661148,6.382565708990965,0.004093167977354016,0.00409698486328125,0.00409316797429068,0.004093170166015625,0.004093170166015625,0.004093170166015625,286.5484150928789,2056.390625,181.6461925121111,1.1378867509547386e+18,1.1378982660919438e+18,1.1378867509546476e+18,1.1378867445187375e+18,1.1378924936558982e+18,1.1378867445186742e+18,0.7538377964300881,4.0931679773540676e-13,4.0931701660156765e-13,28.072667507661148,0.00409698486328125,0.004093170166015625,4.249572753908056e-13,3721,9e-14
