Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_V_L1,Error_n_L2,Error_n_Linf,Error_n_L1,Error_p_L2,Error_p_Linf,Error_p_L1,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_Poisson_L1,Residual_n_L2,Residual_n_Linf,Residual_n_L1,Residual_p_L2,Residual_p_Linf,Residual_p_L1,Error_V_Relative,Error_n_Relative,Error_p_Relative,Max_V_Change,Max_n_Change,Max_p_Change,Total_Error,Grid_Points,Device_Area
0,1,0,10.66708453104849,34.311038064919174,7.8009136443222875,9500000000.0,9500000000.0,9500000000.0,9500000000.0,9500000000.0,9500000000.0,8.870226588306352e-15,8.526512829121202e-14,5.6279313298137946e-15,384026475983.67456,5634997092352.0,157972983173.83606,378524291174.227,5634997092352.0,157590763261.32755,0.7574352675536912,1.0,1.0,34.311038064919174,9500000000.0,9500000000.0,1.0,3721,9e-14
1,1,0.0,10.66708453104849,34.311038064919174,7.8009136443222875,485000000.0,485000000.0,485000000.0,485000000.0,485000000.0,485000000.0,8.870226588306352e-15,8.526512829121202e-14,5.6279313298137946e-15,1.0269427681432365e+18,1.0269488132157363e+18,1.026942768143154e+18,1.0269427727787617e+18,1.0269488132157363e+18,1.0269427727786781e+18,0.7574352675536912,0.04857285928893341,0.04857285928893341,34.311038064919174,485000000.0,485000000.0,1.0,3721,9e-14
2,1,0.1,9.697349573680444,31.191852786290166,7.091739676656625,14550000.0,14550000.0,14550000.0,14550000.0,14550000.0,14550000.0,8.063288668438087e-15,5.684341886080802e-14,5.053125398721956e-15,1.1344756112458949e+18,1.1344802255072143e+18,1.1344756112458323e+18,1.1344756091989303e+18,1.1344801567877376e+18,1.134475609198865e+18,0.7558991601692219,0.0014550654779465076,0.0014550654779465076,31.191852786290166,14550000.0,14550000.0,1.0,3721,9e-14
3,1,0.2,8.727614616312403,28.072667507661148,6.382565708990965,436500.0,436500.0,436500.0,436500.0,436500.0,436500.0,6.930782901716433e-15,4.973799150320701e-14,4.393495924885802e-15,1.1377843247902463e+18,1.1377896738393088e+18,1.1377843247901985e+18,1.1377843221914836e+18,1.1377896738393088e+18,1.137784322191441e+18,0.7538377964300881,4.365005892757955e-05,4.365005892757955e-05,28.072667507661148,436500.0,436500.0,1.0,3721,9e-14
4,1,0.30000000000000004,7.757879658944357,24.953482229032126,5.673391741325299,13095.0,13095.0,13095.0,13095.0,13095.0,13095.0,6.45140111506883e-15,4.618527782440651e-14,4.06901044187525e-15,1.1378836368273737e+18,1.1378881844142036e+18,1.1378836368273175e+18,1.1378836415492758e+18,1.137887565938913e+18,1.1378836415492195e+18,0.7509840206182605,1.3095000530347519e-06,1.3095000530347519e-06,24.953482229032126,13095.0,13095.0,1.0,3721,9e-14
5,1,0.4,6.788144701576312,21.834296950403115,4.964217773659637,392.8500003814698,392.8500003814697,392.8500003814697,392.8500003814698,392.8500003814697,392.8500003814697,5.4555592215308146e-15,4.973799150320701e-14,3.4256697274575904e-15,1.1378866443834036e+18,1.1378911645374548e+18,1.1378866443833669e+18,1.1378866463081848e+18,1.137891645573792e+18,1.137886646308144e+18,0.7468790614394788,3.928500008587825e-08,3.928500008587825e-08,21.834296950403115,392.8500003814697,392.8500003814697,1.0,3721,9e-14
6,1,0.5,5.8184097442082665,18.71511167177409,4.255043805993974,11.785499572753906,11.785499572753906,11.785499572753906,11.785499572753906,11.785499572753906,11.785499572753906,4.880509418518673e-15,4.263256414560601e-14,3.0188912750468794e-15,1.1378867133922301e+18,1.1378904980269686e+18,1.1378867133921976e+18,1.1378867193639713e+18,1.1378904980269686e+18,1.1378867193639419e+18,0.740684083727385,1.1785499573183485e-09,1.1785499573183485e-09,18.71511167177409,11.785499572753906,11.785499572753906,1.0,3721,9e-14
7,1,0.6000000000000001,4.848674786840222,15.595926393145074,3.5458698383283123,0.3535652160644531,0.3535652160644531,0.3535652160644531,0.3535652160644531,0.3535652160644531,0.3535652160644531,4.069084392027847e-15,3.019806626980426e-14,2.5670279525207934e-15,1.1378867122143319e+18,1.137888988880593e+18,1.1378867122143012e+18,1.1378867101020119e+18,1.1378888514416396e+18,1.1378867101019816e+18,0.7307412761249729,3.535652160648397e-11,3.535652160648397e-11,15.595926393145074,0.3535652160644531,0.3535652160644531,1.0,3721,9e-14
8,1,0.7000000000000001,3.8789398294721766,12.476741114516056,2.836695870662649,0.010606765747070312,0.010606765747070312,0.010606765747070312,0.010606765747070312,0.010606765747070312,0.010606765747070312,3.4166992406928138e-15,2.4868995751603507e-14,2.076616991294978e-15,1.1378867152691516e+18,1.1378900197532074e+18,1.1378867152691204e+18,1.1378867086551949e+18,1.1378889889610564e+18,1.1378867086551668e+18,0.7134388987287044,1.0606765747070661e-12,1.0606765747070661e-12,12.476741114516056,0.010606765747070312,0.010606765747070312,1.0,3721,9e-14
9,1,0.8,2.909204872104131,9.357555835887041,2.1275219029969863,0.0003185272216796875,0.0003185272216796875,0.0003185272216796875,0.0003185272216796875,0.0003185272216796875,0.0003185272216796875,2.57635203407486e-15,2.4868995751603507e-14,1.5824425621890768e-15,1.1378867152465092e+18,1.1378879581713193e+18,1.1378867152464928e+18,1.1378867168282817e+18,1.1378879581713193e+18,1.1378867168282648e+18,0.6798973097391279,3.185272216796879e-14,3.185272216796879e-14,9.357555835887041,0.0003185272216796875,0.0003185272216796875,1.0,3721,9e-14
