Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_V_L1,Error_n_L2,Error_n_Linf,Error_n_L1,Error_p_L2,Error_p_Linf,Error_p_L1,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_Poisson_L1,Residual_n_L2,Residual_n_Linf,Residual_n_L1,Residual_p_L2,Residual_p_Linf,Residual_p_L1,Error_V_Relative,Error_n_Relative,Error_p_Relative,Max_V_Change,Max_n_Change,Max_p_Change,Total_Error,Grid_Points,Device_Area
0,1,0,10.66708453104849,34.311038064919174,7.8009136443222875,0.002554415998134942,0.018368718548339887,0.0007232351992014556,0.00036258243870807835,0.00037365573367942854,0.0003593122852111042,0.04332254938343648,0.3150190948111135,0.016835677704658138,31395992662181.523,665163821287973.1,6827566590593.078,622656092180.0997,13191756988835.066,135406641801.10593,0.7574352675536912,1.0,1.0,34.311038064919174,0.018368718548339887,0.00037365573367942854,1.0,3721,9e-14
0,2,0,3.3259498526519254e-16,3.552713678800501e-15,3.8441472227646045e-17,inf,inf,inf,0.0007171822285057151,0.008858700396303829,0.0001089456617923267,inf,inf,inf,nan,nan,nan,70842103457793.08,1927610312304696.0,9900522863860.621,2.3616497171096797e-17,nan,0.8476676900195296,3.552713678800501e-15,inf,0.008858700396303829,31395992662181.523,3721,9e-14
1,1,0.0,10.66708453104849,34.311038064919174,7.8009136443222875,5.219823198769512e+27,2.1776737044624192e+29,1.251177078116874e+26,0.00037021575320719574,0.00038152217017794283,0.00036687675437344324,8.956435297954683e+28,3.7365621193209645e+30,2.1468325879465467e+27,inf,inf,inf,635764641489.1534,13469478188599.998,138257307944.28714,0.7574352675536912,1.0,1.0,34.311038064919174,2.1776737044624192e+29,0.00038152217017794283,1.0,3721,9e-14
1,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,3721,9e-14
2,1,0.1,9.697349573680444,31.191852786290166,7.091739676656625,inf,inf,inf,0.00036913346766776297,0.00038152217017794294,0.0003654320917104396,inf,inf,inf,nan,nan,nan,590498754511.1522,11224033289854.662,131617062694.98503,0.7558991601692219,nan,1.0,31.191852786290166,inf,0.00038152217017794294,1.0,3721,9e-14
3,1,0.2,8.727614616312403,28.072667507661148,6.382565708990965,inf,inf,inf,0.0003678392067195075,0.0003815221701779426,0.0003637017148018025,inf,inf,inf,nan,nan,nan,551394378360.558,9161652223364.322,124813401167.07289,0.7538377964300881,nan,1.0,28.072667507661148,inf,0.0003815221701779426,1.0,3721,9e-14
4,1,0.30000000000000004,7.757879658944357,24.953482229032126,5.673391741325299,inf,inf,inf,0.00036626198232529386,0.00038152217017794224,0.0003615904125240094,inf,inf,inf,nan,nan,nan,518470712381.02014,7953866085836.195,117635272796.59418,0.7509840206182605,nan,1.0,24.953482229032126,inf,0.00038152217017794224,1.0,3721,9e-14
5,1,0.4,6.788144701576312,21.834296950403115,4.964217773659637,inf,inf,inf,0.0003642938768202687,0.0003815221701779333,0.00035895410293233906,inf,inf,inf,nan,nan,nan,491170284908.7862,8592862115063.064,109963326204.15942,0.7468790614394788,nan,1.0,21.834296950403115,inf,0.0003815221701779333,1.0,3721,9e-14
6,1,0.5,5.8184097442082665,18.71511167177409,4.255043805993974,inf,inf,inf,0.0003617615832336125,0.00038152217017755436,0.0003555628919722632,inf,inf,inf,nan,nan,nan,468009973750.16187,9262322819360.182,101758016129.09602,0.740684083727385,nan,1.0,18.71511167177409,inf,0.00038152217017755436,1.0,3721,9e-14
7,1,0.6000000000000001,4.848674786840222,15.595926393145074,3.5458698383283123,inf,inf,inf,0.0003583658906794367,0.00038152217016194657,0.0003510235805173031,inf,inf,inf,nan,nan,nan,446037172800.81415,9938447197246.395,92682582031.51591,0.7307412761249729,nan,1.0,15.595926393145074,inf,0.00038152217016194657,1.0,3721,9e-14
8,1,0.7000000000000001,3.8789398294721766,12.476741114516056,2.836695870662649,inf,inf,inf,0.0003535355120321766,0.0003815221695460354,0.00034459612400534117,inf,inf,inf,nan,nan,nan,419782979031.63306,10534110727291.523,82376486484.19887,0.7134388987287044,nan,1.0,12.476741114516056,inf,0.0003815221695460354,1.0,3721,9e-14
9,1,0.8,2.909204872104131,9.357555835887041,2.1275219029969863,inf,inf,inf,0.00034600311565978833,0.00038152214683250543,0.00033467713848958343,inf,inf,inf,nan,nan,nan,378978302014.5228,10764485907616.346,70114555793.07405,0.6798973097391279,nan,1.0,9.357555835887041,inf,0.00038152214683250543,1.0,3721,9e-14
10,1,0.9,1.939469914736087,6.238370557258024,1.4183479353313238,inf,inf,inf,0.000332235133951292,0.0003815214065778951,0.00031697086203396333,inf,inf,inf,nan,nan,nan,304626085262.2485,9837833211453.404,54363974988.70625,0.6051399619200891,nan,1.0,6.238370557258024,inf,0.0003815214065778951,1.0,3721,9e-14
11,1,1.0,0.9697349573680422,3.119185278629006,0.709173967665661,inf,inf,inf,0.0003001049846425885,0.0003815032300579721,0.00027746466507237277,inf,inf,inf,nan,nan,nan,172519303192.8228,6276181484172.326,31861600606.11421,0.4153947186342764,nan,1.0,3.119185278629006,inf,0.0003815032300579721,1.0,3721,9e-14
12,1,1.1,1.1190672990051493e-14,2.4646951146678475e-14,9.532683284716212e-15,inf,inf,inf,0.0002271600704564944,0.000381290162174124,0.00019076108508897136,inf,inf,inf,nan,nan,nan,0.006859261141838898,0.04687500130636067,0.00454855375993644,5.7088845035100585e-15,nan,1.0,2.4646951146678475e-14,inf,0.000381290162174124,1.0,3721,9e-14
