Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_V_L1,Error_n_L2,Error_n_Linf,Error_n_L1,Error_p_L2,Error_p_Linf,Error_p_L1,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_Poisson_L1,Residual_n_L2,Residual_n_Linf,Residual_n_L1,Residual_p_L2,Residual_p_Linf,Residual_p_L1,Error_V_Relative,Error_n_Relative,Error_p_Relative,Max_V_Change,Max_n_Change,Max_p_Change,Total_Error,Grid_Points,Device_Area
0,1,0,10.66708453104849,34.311038064919174,7.8009136443222875,1.3834387114437408e-24,1.383438711443741e-24,1.3834387114437406e-24,1.3834387114437408e-24,1.383438711443741e-24,1.3834387114437406e-24,8.870226588306352e-15,8.526512829121202e-14,5.6279313298137946e-15,9.59234672747927e-10,1.3063606739738992e-09,9.376243361701933e-10,9.592346727479268e-10,1.3063606739738972e-09,9.37624336170193e-10,0.7574352675536912,18.999739059606203,18.999739059606203,34.311038064919174,1.383438711443741e-24,1.383438711443741e-24,1.0,3721,9e-14
0,2,0,3.3259498526519254e-16,3.552713678800501e-15,3.8441472227646045e-17,6.917193557218713e-26,6.917193557218712e-26,6.917193557218713e-26,6.917193557218713e-26,6.917193557218712e-26,6.917193557218713e-26,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738945e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738965e-09,9.37624336170193e-10,2.3616497171096797e-17,18.994782553566946,18.994782553566946,3.552713678800501e-15,6.917193557218712e-26,6.917193557218712e-26,1.0,3721,9e-14
0,3,0,0.0,0.0,0.0,3.458596778609358e-27,3.458596778609358e-27,3.458596778609359e-27,3.458596778609358e-27,3.458596778609358e-27,3.458596778609359e-27,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,18.89619268046814,18.89619268046814,0.0,3.458596778609358e-27,3.458596778609358e-27,1.0,3721,9e-14
0,4,0,0.0,0.0,0.0,1.7292983893046812e-28,1.729298389304681e-28,1.7292983893046814e-28,1.7292983893046812e-28,1.729298389304681e-28,1.7292983893046814e-28,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,17.119104345568772,17.119104345568772,0.0,1.729298389304681e-28,1.729298389304681e-28,1.0,3721,9e-14
0,5,0,0.0,0.0,0.0,8.64649194652341e-30,8.646491946523412e-30,8.646491946523412e-30,8.64649194652341e-30,8.646491946523412e-30,8.646491946523412e-30,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,5.9422854553018105,5.9422854553018105,0.0,8.646491946523412e-30,8.646491946523412e-30,1.0,3721,9e-14
0,6,0,0.0,0.0,0.0,4.32324597326171e-31,4.32324597326171e-31,4.323245973261711e-31,4.32324597326171e-31,4.32324597326171e-31,4.323245973261711e-31,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,0.422706367838642,0.422706367838642,0.0,4.32324597326171e-31,4.32324597326171e-31,1.0,3721,9e-14
0,7,0,0.0,0.0,0.0,2.161622986630857e-32,2.161622986630857e-32,2.1616229866308567e-32,2.161622986630857e-32,2.161622986630857e-32,2.1616229866308567e-32,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,0.021591665108614662,0.021591665108614662,0.0,2.161622986630857e-32,2.161622986630857e-32,1.0,3721,9e-14
0,8,0,0.0,0.0,0.0,1.0808114933154292e-33,1.0808114933154294e-33,1.0808114933154295e-33,1.0808114933154292e-33,1.0808114933154294e-33,1.0808114933154295e-33,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,0.0010807500150502886,0.0010807500150502886,0.0,1.0808114933154294e-33,1.0808114933154294e-33,1.0,3721,9e-14
0,9,0,0.0,0.0,0.0,5.404057466577152e-35,5.404057466577153e-35,5.404057466577153e-35,5.404057466577152e-35,5.404057466577153e-35,5.404057466577153e-35,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,5.404042096180288e-05,5.404042096180288e-05,0.0,5.404057466577153e-35,5.404057466577153e-35,1.0,3721,9e-14
0,10,0,0.0,0.0,0.0,2.7020287332885793e-36,2.7020287332885787e-36,2.7020287332885787e-36,2.7020287332885793e-36,2.7020287332885787e-36,2.7020287332885787e-36,8.956496182294983e-15,8.526512829121202e-14,5.7100897472637915e-15,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,9.592346727479268e-10,1.3063606739738943e-09,9.37624336170193e-10,0.0,2.702028349027619e-06,2.702028349027619e-06,0.0,2.7020287332885787e-36,2.7020287332885787e-36,1.0,3721,9e-14
